County,State(Code),Deaths,Population,Crude Rate Per 100000
Tolland County, CT (09013),27,"151,118",17.9
Windham County, CT (09015),22,"116,192",18.9
Kent County, DE (10001),21,"174,827",12
New Castle County, DE (10003),65,"556,987",11.7
Sussex County, DE (10005),34,"220,251",15.4
District of Columbia, DC (11001),42,"681,170",6.2
Alachua County, FL (12001),32,"263,496",12.1
Bay County, FL (12005),46,"183,974",25
Brevard County, FL (12009),135,"579,130",23.3
Broward County, FL (12011),244,"1,909,632",12.8
Charlotte County, FL (12015),38,"178,465",21.3
Citrus County, FL (12017),29,"143,621",20.2
Clay County, FL (12019),40,"208,311",19.2
Collier County, FL (12021),45,"365,136",12.3
Duval County, FL (12031),132,"926,255",14.3
Escambia County, FL (12033),62,"315,187",19.7
Flagler County, FL (12035),20,"108,310",18.5
Hernando County, FL (12053),38,"182,835",20.8
Highlands County, FL (12055),24,"100,917",23.8
Hillsborough County, FL (12057),170,"1,376,238",12.4
Indian River County, FL (12061),29,"151,563",19.1
Lake County, FL (12069),52,"335,396",15.5
Lee County, FL (12071),115,"722,336",15.9
Leon County, FL (12073),26,"287,822",9
Manatee County, FL (12081),81,"375,888",21.5
Marion County, FL (12083),66,"349,020",18.9
Martin County, FL (12085),35,"158,701",22.1
Miami-Dade County, FL (12086),256,"2,712,945",9.4
Monroe County, FL (12087),19,"79,077",Unreliable
Nassau County, FL (12089),21,"80,622",26
Okaloosa County, FL (12091),42,"201,170",20.9
Orange County, FL (12095),127,"1,314,367",9.7
Osceola County, FL (12097),37,"336,015",11
Palm Beach County, FL (12099),230,"1,443,810",15.9
Pasco County, FL (12101),104,"512,368",20.3
Pinellas County, FL (12103),215,"960,730",22.4
Polk County, FL (12105),91,"666,149",13.7
Putnam County, FL (12107),15,"72,277",Unreliable
St. Johns County, FL (12109),44,"235,087",18.7
St. Lucie County, FL (12111),51,"306,507",16.6
Santa Rosa County, FL (12113),44,"170,497",25.8
Sarasota County, FL (12115),91,"412,569",22.1
Seminole County, FL (12117),72,"455,479",15.8
Sumter County, FL (12119),19,"123,996",Unreliable
Volusia County, FL (12127),104,"529,364",19.6
Walton County, FL (12131),15,"65,889",Unreliable
Baldwin County, GA (13009),10,"45,144",Unreliable
Barrow County, GA (13013),17,"77,126",Unreliable
Bartow County, GA (13015),25,"103,807",24.1
Bibb County, GA (13021),21,"152,760",13.7
Carroll County, GA (13045),18,"116,261",Unreliable
Catoosa County, GA (13047),16,"66,398",Unreliable
Chatham County, GA (13051),48,"289,082",16.6
Cherokee County, GA (13057),38,"241,689",15.7
Clarke County, GA (13059),15,"124,707",Unreliable
Clayton County, GA (13063),22,"279,462",7.9
Cobb County, GA (13067),97,"748,150",13
Columbia County, GA (13073),22,"147,450",14.9
Coweta County, GA (13077),18,"140,526",Unreliable
DeKalb County, GA (13089),57,"740,321",7.7
Dougherty County, GA (13095),10,"90,017",Unreliable
Douglas County, GA (13097),15,"142,224",Unreliable
Effingham County, GA (13103),11,"58,712",Unreliable
Fayette County, GA (13113),10,"111,627",Unreliable
Floyd County, GA (13115),24,"96,560",24.9
Forsyth County, GA (13117),19,"221,009",Unreliable
Fulton County, GA (13121),114,"1,023,336",11.1
Glynn County, GA (13127),15,"84,502",Unreliable
Gordon County, GA (13129),11,"56,904",Unreliable
Gwinnett County, GA (13135),117,"907,135",12.9
Habersham County, GA (13137),12,"44,246",Unreliable
Hall County, GA (13139),36,"196,637",18.3
Henry County, GA (13151),26,"221,768",11.7
Houston County, GA (13153),25,"152,122",16.4
Jackson County, GA (13157),11,"64,615",Unreliable
Liberty County, GA (13179),11,"62,570",Unreliable
Lowndes County, GA (13185),12,"114,628",Unreliable
Muscogee County, GA (13215),28,"197,485",14.2
Newton County, GA (13217),16,"106,999",Unreliable
Paulding County, GA (13223),19,"155,825",Unreliable
Richmond County, GA (13245),21,"201,647",10.4
Rockdale County, GA (13247),16,"89,355",Unreliable
Troup County, GA (13285),10,"70,005",Unreliable
Union County, GA (13291),10,"22,928",Unreliable
Walker County, GA (13295),13,"67,896",Unreliable
Walton County, GA (13297),21,"90,184",23.3
Whitfield County, GA (13313),12,"104,589",Unreliable
Hawaii County, HI (15001),32,"198,449",16.1
Honolulu County, HI (15003),106,"992,605",10.7
Kauai County, HI (15007),13,"72,029",Unreliable
Maui County, HI (15009),24,"165,386",14.5
Ada County, ID (16001),103,"444,028",23.2
Bannock County, ID (16005),17,"84,377",Unreliable
Bingham County, ID (16011),13,"45,201",Unreliable
Bonner County, ID (16017),12,"42,536",Unreliable
Bonneville County, ID (16019),18,"112,232",Unreliable
Canyon County, ID (16027),32,"211,698",15.1
Kootenai County, ID (16055),18,"154,311",Unreliable
Twin Falls County, ID (16083),20,"83,514",23.9
Adams County, IL (17001),15,"66,578",Unreliable
Champaign County, IL (17019),28,"208,419",13.4
Cook County, IL (17031),438,"5,203,499",8.4
DeKalb County, IL (17037),17,"104,528",Unreliable
DuPage County, IL (17043),98,"929,368",10.5
Kane County, IL (17089),48,"531,715",9
Kankakee County, IL (17091),10,"110,008",Unreliable
Kendall County, IL (17093),14,"124,695",Unreliable
Lake County, IL (17097),73,"703,047",10.4
LaSalle County, IL (17099),25,"110,642",22.6
McHenry County, IL (17111),27,"307,004",8.8
McLean County, IL (17113),24,"172,418",13.9
Macon County, IL (17115),18,"106,550",Unreliable
Madison County, IL (17119),52,"265,759",19.6
Ogle County, IL (17141),10,"51,273",Unreliable
Peoria County, IL (17143),30,"185,006",16.2
Rock Island County, IL (17161),22,"144,784",15.2
St. Clair County, IL (17163),27,"262,759",10.3
Sangamon County, IL (17167),34,"197,499",17.2
