County,State(Code),Deaths,Population,Crude Rate Per 100000
St. Lucie County, FL (12111),37,"306,507",12.1
Santa Rosa County, FL (12113),11,"170,497",Unreliable
Sarasota County, FL (12115),54,"412,569",13.1
Seminole County, FL (12117),54,"455,479",11.9
Sumter County, FL (12119),14,"123,996",Unreliable
Volusia County, FL (12127),116,"529,364",21.9
Walton County, FL (12131),12,"65,889",Unreliable
Barrow County, GA (13013),16,"77,126",Unreliable
Bibb County, GA (13021),17,"152,760",Unreliable
Brooks County, GA (13027),12,"15,687",Unreliable
Bulloch County, GA (13031),18,"74,722",Unreliable
Carroll County, GA (13045),13,"116,261",Unreliable
Catoosa County, GA (13047),11,"66,398",Unreliable
Chatham County, GA (13051),25,"289,082",8.6
Clayton County, GA (13063),29,"279,462",10.4
Cobb County, GA (13067),37,"748,150",4.9
Columbia County, GA (13073),25,"147,450",17
DeKalb County, GA (13089),110,"740,321",14.9
Dougherty County, GA (13095),41,"90,017",45.5
Forsyth County, GA (13117),13,"221,009",Unreliable
Fulton County, GA (13121),128,"1,023,336",12.5
Gwinnett County, GA (13135),58,"907,135",6.4
Hall County, GA (13139),18,"196,637",Unreliable
Henry County, GA (13151),15,"221,768",Unreliable
Houston County, GA (13153),11,"152,122",Unreliable
Jackson County, GA (13157),12,"64,615",Unreliable
Lowndes County, GA (13185),25,"114,628",21.8
Muscogee County, GA (13215),28,"197,485",14.2
Putnam County, GA (13237),16,"21,477",Unreliable
Randolph County, GA (13243),12,"7,177",Unreliable
Richmond County, GA (13245),11,"201,647",Unreliable
Spalding County, GA (13255),14,"64,806",Unreliable
Thomas County, GA (13275),13,"45,248",Unreliable
Troup County, GA (13285),17,"70,005",Unreliable
Hawaii County, HI (15001),14,"198,449",Unreliable
Honolulu County, HI (15003),72,"992,605",7.3
Kauai County, HI (15007),10,"72,029",Unreliable
Maui County, HI (15009),20,"165,386",12.1
Ada County, ID (16001),15,"444,028",Unreliable
Bonneville County, ID (16019),11,"112,232",Unreliable
Canyon County, ID (16027),19,"211,698",Unreliable
Kootenai County, ID (16055),15,"154,311",Unreliable
Nez Perce County, ID (16069),10,"40,369",Unreliable
Adams County, IL (17001),13,"66,578",Unreliable
Champaign County, IL (17019),13,"208,419",Unreliable
Coles County, IL (17029),18,"52,343",Unreliable
Cook County, IL (17031),476,"5,203,499",9.1
DuPage County, IL (17043),43,"929,368",4.6
Effingham County, IL (17049),10,"34,386",Unreliable
Kane County, IL (17089),30,"531,715",5.6
Kankakee County, IL (17091),12,"110,008",Unreliable
Kendall County, IL (17093),10,"124,695",Unreliable
Lake County, IL (17097),28,"703,047",4
LaSalle County, IL (17099),13,"110,642",Unreliable
McHenry County, IL (17111),28,"307,004",9.1
Macon County, IL (17115),14,"106,550",Unreliable
Madison County, IL (17119),33,"265,759",12.4
Marion County, IL (17121),16,"38,140",Unreliable
Peoria County, IL (17143),14,"185,006",Unreliable
Rock Island County, IL (17161),21,"144,784",14.5
St. Clair County, IL (17163),41,"262,759",15.6
Sangamon County, IL (17167),14,"197,499",Unreliable
Tazewell County, IL (17179),14,"134,385",Unreliable
Vermilion County, IL (17183),12,"78,111",Unreliable
Will County, IL (17197),48,"689,529",7
Winnebago County, IL (17201),23,"285,873",8
Allen County, IN (18003),67,"370,404",18.1
Clark County, IN (18019),13,"116,031",Unreliable
Delaware County, IN (18035),31,"115,603",26.8
Elkhart County, IN (18039),30,"203,781",14.7
Floyd County, IN (18043),13,"76,990",Unreliable
Hamilton County, IN (18057),14,"316,373",Unreliable
Howard County, IN (18067),12,"82,568",Unreliable
Lake County, IN (18089),77,"485,846",15.8
La Porte County, IN (18091),25,"110,015",22.7
Lawrence County, IN (18093),10,"45,518",Unreliable
Madison County, IN (18095),10,"129,296",Unreliable
Marion County, IN (18097),68,"941,229",7.2
Monroe County, IN (18105),10,"145,496",Unreliable
Montgomery County, IN (18107),10,"38,074",Unreliable
Porter County, IN (18127),20,"167,791",11.9
St. Joseph County, IN (18141),59,"269,141",21.9
Tippecanoe County, IN (18157),14,"188,059",Unreliable
Vanderburgh County, IN (18163),32,"181,721",17.6
Vigo County, IN (18167),12,"107,931",Unreliable
Washington County, IN (18175),15,"27,670",Unreliable
Wayne County, IN (18177),14,"66,568",Unreliable
Black Hawk County, IA (19013),40,"132,904",30.1
Cerro Gordo County, IA (19033),15,"43,070",Unreliable
Johnson County, IA (19103),14,"146,547",Unreliable
Linn County, IA (19113),16,"221,661",Unreliable
Polk County, IA (19153),30,"474,045",6.3
Pottawattamie County, IA (19155),12,"93,582",Unreliable
Scott County, IA (19163),14,"172,474",Unreliable
Woodbury County, IA (19193),12,"102,779",Unreliable
Johnson County, KS (20091),25,"584,451",4.3
Saline County, KS (20169),13,"55,142",Unreliable
Sedgwick County, KS (20173),33,"511,995",6.4
Shawnee County, KS (20177),12,"178,146",Unreliable
Wyandotte County, KS (20209),20,"163,831",12.2
Christian County, KY (21047),13,"72,351",Unreliable
Daviess County, KY (21059),14,"99,674",Unreliable
Fayette County, KY (21067),34,"318,449",10.7
Jefferson County, KY (21111),60,"765,352",7.8
Kenton County, KY (21117),12,"164,945",Unreliable
Shelby County, KY (21211),12,"46,408",Unreliable
Avoyelles Parish, LA (22009),15,"41,117",Unreliable
Caddo Parish, LA (22017),75,"248,851",30.1
East Baton Rouge Parish, LA (22033),10,"447,037",Unreliable
Jackson Parish, LA (22049),11,"15,808",Unreliable
Jefferson Parish, LA (22051),30,"436,523",6.9
Lafourche Parish, LA (22057),12,"98,305",Unreliable
Lincoln Parish, LA (22061),13,"47,745",Unreliable
Morehouse Parish, LA (22067),11,"26,071",Unreliable
Orleans Parish, LA (22071),29,"391,495",7.4
Ouachita Parish, LA (22073),25,"156,983",15.9
St. Tammany Parish, LA (22103),10,"253,602",Unreliable
