County,State(Code),Deaths,Population,Crude Rate Per 100000
Floyd County, IN (18043),11,"76,990",Unreliable
Hamilton County, IN (18057),15,"316,373",Unreliable
Hendricks County, IN (18063),11,"160,610",Unreliable
Kosciusko County, IN (18085),10,"79,092",Unreliable
Lake County, IN (18089),25,"485,846",5.1
Madison County, IN (18095),11,"129,296",Unreliable
Marion County, IN (18097),71,"941,229",7.5
St. Joseph County, IN (18141),26,"269,141",9.7
Vanderburgh County, IN (18163),23,"181,721",12.7
Wayne County, IN (18177),12,"66,568",Unreliable
Black Hawk County, IA (19013),11,"132,904",Unreliable
Linn County, IA (19113),22,"221,661",9.9
Polk County, IA (19153),28,"474,045",5.9
Johnson County, KS (20091),28,"584,451",4.8
Sedgwick County, KS (20173),42,"511,995",8.2
Shawnee County, KS (20177),16,"178,146",Unreliable
Jefferson County, KY (21111),66,"765,352",8.6
Kenton County, KY (21117),10,"164,945",Unreliable
Warren County, KY (21227),17,"125,532",Unreliable
Caddo Parish, LA (22017),22,"248,851",8.8
East Baton Rouge Parish, LA (22033),26,"447,037",5.8
Jefferson Parish, LA (22051),13,"436,523",Unreliable
Orleans Parish, LA (22071),15,"391,495",Unreliable
Rapides Parish, LA (22079),17,"132,424",Unreliable
Aroostook County, ME (23003),10,"67,959",Unreliable
Cumberland County, ME (23005),24,"292,041",8.2
Penobscot County, ME (23019),10,"151,806",Unreliable
York County, ME (23031),40,"202,343",19.8
Allegany County, MD (24001),12,"72,130",Unreliable
Anne Arundel County, MD (24003),25,"568,346",4.4
Baltimore County, MD (24005),94,"831,026",11.3
Carroll County, MD (24013),16,"167,656",Unreliable
Harford County, MD (24025),16,"251,032",Unreliable
Montgomery County, MD (24031),60,"1,043,863",5.7
Prince George's County, MD (24033),36,"908,049",4
Wicomico County, MD (24045),10,"102,577",Unreliable
Baltimore city, MD (24510),47,"614,664",7.6
Barnstable County, MA (25001),40,"214,276",18.7
Berkshire County, MA (25003),17,"126,903",Unreliable
Bristol County, MA (25005),75,"558,324",13.4
Essex County, MA (25009),54,"779,018",6.9
Hampden County, MA (25013),33,"468,467",7
Middlesex County, MA (25017),123,"1,589,774",7.7
Norfolk County, MA (25021),50,"697,181",7.2
Plymouth County, MA (25023),35,"513,565",6.8
Suffolk County, MA (25025),31,"784,230",4
Worcester County, MA (25027),66,"819,589",8.1
Calhoun County, MI (26025),13,"134,386",Unreliable
Genesee County, MI (26049),20,"408,615",4.9
Ingham County, MI (26065),10,"288,051",Unreliable
Jackson County, MI (26075),18,"158,460",Unreliable
Kalamazoo County, MI (26077),19,"261,654",Unreliable
Kent County, MI (26081),36,"642,173",5.6
Macomb County, MI (26099),54,"867,730",6.2
Muskegon County, MI (26121),10,"173,408",Unreliable
Oakland County, MI (26125),49,"1,243,970",3.9
Ottawa County, MI (26139),17,"282,250",Unreliable
Saginaw County, MI (26145),15,"192,326",Unreliable
Washtenaw County, MI (26161),23,"364,709",6.3
Wayne County, MI (26163),105,"1,749,366",6
Hennepin County, MN (27053),37,"1,232,483",3
Ramsey County, MN (27123),12,"540,649",Unreliable
Harrison County, MS (28047),10,"203,234",Unreliable
Hinds County, MS (28049),16,"241,229",Unreliable
Lee County, MS (28081),11,"85,381",Unreliable
Clay County, MO (29047),19,"239,085",Unreliable
Franklin County, MO (29071),10,"102,838",Unreliable
Greene County, MO (29077),35,"288,690",12.1
Jackson County, MO (29095),41,"691,801",5.9
Johnson County, MO (29101),34,"53,942",63
St. Charles County, MO (29183),50,"390,918",12.8
St. Louis County, MO (29189),112,"998,581",11.2
St. Louis city, MO (29510),15,"311,404",Unreliable
Flathead County, MT (30029),11,"98,082",Unreliable
Yellowstone County, MT (30111),12,"158,437",Unreliable
Douglas County, NE (31055),36,"554,995",6.5
Lancaster County, NE (31109),12,"309,637",Unreliable
Clark County, NV (32003),43,"2,155,664",2
Washoe County, NV (32031),48,"453,616",10.6
Carson City, NV (32510),12,"54,742",Unreliable
Hillsborough County, NH (33011),21,"407,761",5.2
Merrimack County, NH (33013),11,"148,582",Unreliable
Rockingham County, NH (33015),19,"303,251",Unreliable
Atlantic County, NJ (34001),26,"270,991",9.6
Bergen County, NJ (34003),81,"939,151",8.6
Burlington County, NJ (34005),55,"449,284",12.2
Camden County, NJ (34007),47,"510,150",9.2
Cape May County, NJ (34009),13,"94,430",Unreliable
Essex County, NJ (34013),30,"796,914",3.8
Gloucester County, NJ (34015),31,"292,330",10.6
Hudson County, NJ (34017),18,"677,983",Unreliable
Mercer County, NJ (34021),30,"371,023",8.1
Middlesex County, NJ (34023),44,"837,073",5.3
Monmouth County, NJ (34025),55,"625,846",8.8
Morris County, NJ (34027),43,"498,423",8.6
Ocean County, NJ (34029),79,"592,497",13.3
Passaic County, NJ (34031),30,"507,945",5.9
Somerset County, NJ (34035),26,"333,751",7.8
Sussex County, NJ (34037),19,"142,522",Unreliable
Union County, NJ (34039),30,"555,630",5.4
Warren County, NJ (34041),10,"106,617",Unreliable
Bernalillo County, NM (35001),14,"676,953",Unreliable
Albany County, NY (36001),33,"308,846",10.7
Bronx County, NY (36005),16,"1,455,720",Unreliable
Broome County, NY (36007),13,"195,334",Unreliable
Chemung County, NY (36015),13,"86,322",Unreliable
Clinton County, NY (36019),14,"81,073",Unreliable
Columbia County, NY (36021),10,"60,989",Unreliable
Dutchess County, NY (36027),25,"294,473",8.5
Erie County, NY (36029),62,"921,046",6.7
Kings County, NY (36047),50,"2,629,150",1.9
Monroe County, NY (36055),81,"747,727",10.8
Nassau County, NY (36059),57,"1,361,500",4.2
New York County, NY (36061),19,"1,643,734",Unreliable
Niagara County, NY (36063),11,"211,758",Unreliable
Oneida County, NY (36065),30,"231,190",13
Onondaga County, NY (36067),46,"466,194",9.9
Ontario County, NY (36069),23,"109,828",20.9
Orange County, NY (36071),21,"379,210",5.5
Oswego County, NY (36075),13,"118,987",Unreliable
Queens County, NY (36081),47,"2,333,054",2
Rensselaer County, NY (36083),11,"160,070",Unreliable
Rockland County, NY (36087),35,"326,780",10.7
Saratoga County, NY (36091),18,"227,053",Unreliable
Seneca County, NY (36099),14,"34,777",Unreliable
Suffolk County, NY (36103),76,"1,492,583",5.1
Wayne County, NY (36117),16,"90,798",Unreliable
Westchester County, NY (36119),90,"974,542",9.2
Alamance County, NC (37001),14,"159,688",Unreliable
Buncombe County, NC (37021),21,"256,088",8.2
Cabarrus County, NC (37025),18,"201,590",Unreliable
Catawba County, NC (37035),13,"156,459",Unreliable
Craven County, NC (37049),13,"103,445",Unreliable
Cumberland County, NC (37051),15,"327,127",Unreliable
Davidson County, NC (37057),18,"164,926",Unreliable
Durham County, NC (37063),15,"306,212",Unreliable
