County,State(Code),Deaths,Population,Crude Rate Per 100000
Broward County, FL (12011),303,"1,909,632",15.9
Charlotte County, FL (12015),36,"178,465",20.2
Citrus County, FL (12017),25,"143,621",17.4
Clay County, FL (12019),29,"208,311",13.9
Collier County, FL (12021),34,"365,136",9.3
Columbia County, FL (12023),10,"69,299",Unreliable
DeSoto County, FL (12027),10,"35,800",Unreliable
Duval County, FL (12031),133,"926,255",14.4
Escambia County, FL (12033),89,"315,187",28.2
Flagler County, FL (12035),24,"108,310",22.2
Gadsden County, FL (12039),12,"46,006",Unreliable
Hernando County, FL (12053),29,"182,835",15.9
Highlands County, FL (12055),25,"100,917",24.8
Hillsborough County, FL (12057),147,"1,376,238",10.7
Indian River County, FL (12061),67,"151,563",44.2
Jackson County, FL (12063),19,"48,229",Unreliable
Lake County, FL (12069),56,"335,396",16.7
Lee County, FL (12071),49,"722,336",6.8
Leon County, FL (12073),24,"287,822",8.3
Madison County, FL (12079),13,"18,224",Unreliable
Manatee County, FL (12081),66,"375,888",17.6
Marion County, FL (12083),43,"349,020",12.3
Martin County, FL (12085),19,"158,701",Unreliable
Miami-Dade County, FL (12086),323,"2,712,945",11.9
Okaloosa County, FL (12091),28,"201,170",13.9
Okeechobee County, FL (12093),14,"40,314",Unreliable
Orange County, FL (12095),152,"1,314,367",11.6
Osceola County, FL (12097),46,"336,015",13.7
Palm Beach County, FL (12099),241,"1,443,810",16.7
Pasco County, FL (12101),87,"512,368",17
Pinellas County, FL (12103),195,"960,730",20.3
Polk County, FL (12105),102,"666,149",15.3
Putnam County, FL (12107),11,"72,277",Unreliable
St. Johns County, FL (12109),30,"235,087",12.8
St. Lucie County, FL (12111),54,"306,507",17.6
Santa Rosa County, FL (12113),46,"170,497",27
Sarasota County, FL (12115),82,"412,569",19.9
Seminole County, FL (12117),55,"455,479",12.1
Sumter County, FL (12119),16,"123,996",Unreliable
Volusia County, FL (12127),114,"529,364",21.5
Walton County, FL (12131),19,"65,889",Unreliable
Baldwin County, GA (13009),20,"45,144",44.3
Bartow County, GA (13015),23,"103,807",22.2
Bibb County, GA (13021),45,"152,760",29.5
Bulloch County, GA (13031),12,"74,722",Unreliable
Carroll County, GA (13045),19,"116,261",Unreliable
Catoosa County, GA (13047),10,"66,398",Unreliable
Chatham County, GA (13051),41,"289,082",14.2
Cherokee County, GA (13057),31,"241,689",12.8
Clarke County, GA (13059),19,"124,707",Unreliable
Clayton County, GA (13063),41,"279,462",14.7
Cobb County, GA (13067),81,"748,150",10.8
Colquitt County, GA (13071),11,"45,708",Unreliable
