County,State(Code),Deaths,Population,Crude Rate Per 100000
Nevada County, CA (06057),47,"99,107",47.4
Orange County, CA (06059),"1,429","3,172,532",45
Placer County, CA (06061),198,"380,531",52
Plumas County, CA (06063),13,"18,627",Unreliable
Riverside County, CA (06065),957,"2,387,741",40.1
Sacramento County, CA (06067),640,"1,514,460",42.3
San Bernardino County, CA (06071),750,"2,140,096",35
San Diego County, CA (06073),"1,412","3,317,749",42.6
San Francisco County, CA (06075),344,"870,887",39.5
San Joaquin County, CA (06077),351,"733,709",47.8
San Luis Obispo County, CA (06079),187,"282,887",66.1
San Mateo County, CA (06081),286,"764,797",37.4
Santa Barbara County, CA (06083),233,"446,170",52.2
Santa Clara County, CA (06085),117,"1,919,402",6.1
Santa Cruz County, CA (06087),102,"274,673",37.1
Shasta County, CA (06089),166,"179,631",92.4
Siskiyou County, CA (06093),25,"43,603",57.3
Solano County, CA (06095),199,"440,207",45.2
Sonoma County, CA (06097),275,"503,070",54.7
Stanislaus County, CA (06099),276,"541,560",51
Sutter County, CA (06101),43,"96,651",44.5
Tehama County, CA (06103),37,"63,276",58.5
Tulare County, CA (06107),136,"460,437",29.5
Tuolumne County, CA (06109),12,"53,804",Unreliable
Ventura County, CA (06111),391,"849,738",46
Yolo County, CA (06113),89,"215,802",41.2
Yuba County, CA (06115),25,"75,275",33.2
Adams County, CO (08001),117,"498,187",23.5
Arapahoe County, CO (08005),232,"637,068",36.4
Boulder County, CO (08013),86,"322,226",26.7
Broomfield County, CO (08014),22,"66,529",33.1
Delta County, CO (08029),26,"30,442",85.4
Denver County, CO (08031),211,"693,060",30.4
Douglas County, CO (08035),91,"328,632",27.7
El Paso County, CO (08041),192,"688,284",27.9
Fremont County, CO (08043),17,"47,446",Unreliable
Garfield County, CO (08045),26,"58,887",44.2
Jefferson County, CO (08059),253,"571,837",44.2
Larimer County, CO (08069),163,"339,993",47.9
Mesa County, CO (08077),114,"150,083",76
Montrose County, CO (08085),23,"41,471",55.5
Pueblo County, CO (08101),55,"165,123",33.3
Weld County, CO (08123),95,"294,932",32.2
Fairfield County, CT (09001),259,"944,177",27.4
Hartford County, CT (09003),235,"892,389",26.3
Litchfield County, CT (09005),80,"182,571",43.8
Middlesex County, CT (09007),62,"163,329",38
New Haven County, CT (09009),252,"856,875",29.4
New London County, CT (09011),96,"269,801",35.6
Tolland County, CT (09013),15,"151,118",Unreliable
Windham County, CT (09015),36,"116,192",31
Kent County, DE (10001),57,"174,827",32.6
New Castle County, DE (10003),185,"556,987",33.2
Sussex County, DE (10005),87,"220,251",39.5
District of Columbia, DC (11001),120,"681,170",17.6
Alachua County, FL (12001),40,"263,496",15.2
Bay County, FL (12005),88,"183,974",47.8
Brevard County, FL (12009),170,"579,130",29.4
Broward County, FL (12011),404,"1,909,632",21.2
Charlotte County, FL (12015),134,"178,465",75.1
Citrus County, FL (12017),32,"143,621",22.3
Clay County, FL (12019),23,"208,311",11
Collier County, FL (12021),201,"365,136",55
Columbia County, FL (12023),14,"69,299",Unreliable
Duval County, FL (12031),138,"926,255",14.9
Escambia County, FL (12033),209,"315,187",66.3
Flagler County, FL (12035),37,"108,310",34.2
Gadsden County, FL (12039),14,"46,006",Unreliable
Hendry County, FL (12051),11,"39,290",Unreliable
Hernando County, FL (12053),106,"182,835",58
Highlands County, FL (12055),52,"100,917",51.5
Hillsborough County, FL (12057),399,"1,376,238",29
Indian River County, FL (12061),95,"151,563",62.7
Jackson County, FL (12063),44,"48,229",91.2
Lake County, FL (12069),137,"335,396",40.8
Lee County, FL (12071),223,"722,336",30.9
Leon County, FL (12073),58,"287,822",20.2
Levy County, FL (12075),10,"39,961",Unreliable
Manatee County, FL (12081),204,"375,888",54.3
Marion County, FL (12083),229,"349,020",65.6
Martin County, FL (12085),132,"158,701",83.2
Miami-Dade County, FL (12086),869,"2,712,945",32
Monroe County, FL (12087),13,"79,077",Unreliable
Nassau County, FL (12089),14,"80,622",Unreliable
Okaloosa County, FL (12091),67,"201,170",33.3
Okeechobee County, FL (12093),14,"40,314",Unreliable
Orange County, FL (12095),259,"1,314,367",19.7
Osceola County, FL (12097),60,"336,015",17.9
Palm Beach County, FL (12099),551,"1,443,810",38.2
Pasco County, FL (12101),233,"512,368",45.5
Pinellas County, FL (12103),456,"960,730",47.5
Polk County, FL (12105),231,"666,149",34.7
Putnam County, FL (12107),26,"72,277",36
St. Johns County, FL (12109),31,"235,087",13.2
St. Lucie County, FL (12111),171,"306,507",55.8
Santa Rosa County, FL (12113),68,"170,497",39.9
Sarasota County, FL (12115),283,"412,569",68.6
Seminole County, FL (12117),134,"455,479",29.4
Sumter County, FL (12119),49,"123,996",39.5
Volusia County, FL (12127),312,"529,364",58.9
Wakulla County, FL (12129),11,"31,893",Unreliable
Walton County, FL (12131),21,"65,889",31.9
Barrow County, GA (13013),23,"77,126",29.8
Bartow County, GA (13015),42,"103,807",40.5
Bibb County, GA (13021),61,"152,760",39.9
Bryan County, GA (13029),20,"36,230",55.2
Bulloch County, GA (13031),13,"74,722",Unreliable
Butts County, GA (13035),17,"23,817",Unreliable
Camden County, GA (13039),12,"53,008",Unreliable
Carroll County, GA (13045),47,"116,261",40.4
Catoosa County, GA (13047),42,"66,398",63.3
Chatham County, GA (13051),123,"289,082",42.5
Chattooga County, GA (13055),15,"24,824",Unreliable
Cherokee County, GA (13057),72,"241,689",29.8
Clarke County, GA (13059),40,"124,707",32.1
Clayton County, GA (13063),63,"279,462",22.5
Cobb County, GA (13067),239,"748,150",31.9
Coffee County, GA (13069),26,"43,012",60.4
Colquitt County, GA (13071),25,"45,708",54.7
Columbia County, GA (13073),71,"147,450",48.2
Cook County, GA (13075),11,"17,167",Unreliable
Coweta County, GA (13077),44,"140,526",31.3
Crisp County, GA (13081),14,"22,721",Unreliable
Dawson County, GA (13085),11,"23,604",Unreliable
DeKalb County, GA (13089),222,"740,321",30
Dodge County, GA (13091),10,"20,563",Unreliable
Dougherty County, GA (13095),41,"90,017",45.5
Douglas County, GA (13097),36,"142,224",25.3
Effingham County, GA (13103),10,"58,712",Unreliable
Elbert County, GA (13105),13,"19,143",Unreliable
Emanuel County, GA (13107),17,"22,635",Unreliable
Fannin County, GA (13111),11,"24,900",Unreliable
Fayette County, GA (13113),47,"111,627",42.1
Floyd County, GA (13115),78,"96,560",80.8
Forsyth County, GA (13117),65,"221,009",29.4
Franklin County, GA (13119),27,"22,320",121
Fulton County, GA (13121),311,"1,023,336",30.4
Gilmer County, GA (13123),16,"29,733",Unreliable
Glynn County, GA (13127),49,"84,502",58
Gordon County, GA (13129),28,"56,904",49.2
Grady County, GA (13131),13,"24,808",Unreliable
Gwinnett County, GA (13135),252,"907,135",27.8
Habersham County, GA (13137),50,"44,246",113
Hall County, GA (13139),76,"196,637",38.6
Haralson County, GA (13143),19,"29,042",Unreliable
Harris County, GA (13145),10,"33,652",Unreliable
Hart County, GA (13147),27,"25,553",105.7
Henry County, GA (13151),82,"221,768",37
Houston County, GA (13153),54,"152,122",35.5
Jackson County, GA (13157),42,"64,615",65
Jones County, GA (13169),12,"28,623",Unreliable
Lamar County, GA (13171),13,"18,469",Unreliable
Laurens County, GA (13175),25,"47,516",52.6
Liberty County, GA (13179),17,"62,570",Unreliable
Lowndes County, GA (13185),18,"114,628",Unreliable
Lumpkin County, GA (13187),11,"31,445",Unreliable
McDuffie County, GA (13189),12,"21,490",Unreliable
McIntosh County, GA (13191),10,"13,927",Unreliable
Madison County, GA (13195),16,"28,824",Unreliable
Meriwether County, GA (13199),15,"21,074",Unreliable
Monroe County, GA (13207),17,"27,306",Unreliable
Murray County, GA (13213),17,"39,315",Unreliable
Muscogee County, GA (13215),96,"197,485",48.6
Newton County, GA (13217),31,"106,999",29
Oconee County, GA (13219),17,"36,838",Unreliable
Oglethorpe County, GA (13221),10,"14,921",Unreliable
Paulding County, GA (13223),48,"155,825",30.8
Peach County, GA (13225),31,"26,655",116.3
Pickens County, GA (13227),18,"30,832",Unreliable
Polk County, GA (13233),29,"41,776",69.4
Rabun County, GA (13241),22,"16,559",132.9
Richmond County, GA (13245),87,"201,647",43.1
Rockdale County, GA (13247),31,"89,355",34.7
