County,State(Code),Deaths,Population,Crude Rate Per 100000
Butte County, CA (06007),169,"226,864",74.5
Calaveras County, CA (06009),31,"45,171",68.6
Colusa County, CA (06011),12,"21,588",Unreliable
Contra Costa County, CA (06013),359,"1,135,127",31.6
Del Norte County, CA (06015),27,"27,540",98
El Dorado County, CA (06017),78,"185,625",42
Fresno County, CA (06019),458,"979,915",46.7
Glenn County, CA (06021),19,"28,085",Unreliable
Humboldt County, CA (06023),101,"136,646",73.9
Imperial County, CA (06025),81,"180,883",44.8
Inyo County, CA (06027),14,"18,144",Unreliable
Kern County, CA (06029),481,"884,788",54.4
Kings County, CA (06031),50,"149,785",33.4
Lake County, CA (06033),59,"64,116",92
Lassen County, CA (06035),23,"30,870",74.5
Los Angeles County, CA (06037),"2,612","10,137,915",25.8
Madera County, CA (06039),75,"154,697",48.5
Marin County, CA (06041),105,"260,651",40.3
Mariposa County, CA (06043),18,"17,410",Unreliable
Mendocino County, CA (06045),65,"87,628",74.2
Merced County, CA (06047),152,"268,672",56.6
Monterey County, CA (06053),150,"435,232",34.5
Napa County, CA (06055),57,"142,166",40.1
Nevada County, CA (06057),55,"99,107",55.5
Orange County, CA (06059),886,"3,172,532",27.9
Placer County, CA (06061),167,"380,531",43.9
Plumas County, CA (06063),13,"18,627",Unreliable
Riverside County, CA (06065),905,"2,387,741",37.9
Sacramento County, CA (06067),582,"1,514,460",38.4
San Benito County, CA (06069),23,"59,414",38.7
San Bernardino County, CA (06071),579,"2,140,096",27.1
San Diego County, CA (06073),"1,107","3,317,749",33.4
San Francisco County, CA (06075),360,"870,887",41.3
San Joaquin County, CA (06077),345,"733,709",47
San Luis Obispo County, CA (06079),105,"282,887",37.1
San Mateo County, CA (06081),190,"764,797",24.8
Santa Barbara County, CA (06083),171,"446,170",38.3
Santa Clara County, CA (06085),510,"1,919,402",26.6
Santa Cruz County, CA (06087),123,"274,673",44.8
Shasta County, CA (06089),113,"179,631",62.9
Siskiyou County, CA (06093),39,"43,603",89.4
Solano County, CA (06095),146,"440,207",33.2
Sonoma County, CA (06097),189,"503,070",37.6
Stanislaus County, CA (06099),242,"541,560",44.7
Sutter County, CA (06101),34,"96,651",35.2
Tehama County, CA (06103),42,"63,276",66.4
Trinity County, CA (06105),16,"12,782",Unreliable
Tulare County, CA (06107),167,"460,437",36.3
Tuolumne County, CA (06109),37,"53,804",68.8
Ventura County, CA (06111),297,"849,738",35
Yolo County, CA (06113),81,"215,802",37.5
Yuba County, CA (06115),36,"75,275",47.8
Adams County, CO (08001),265,"498,187",53.2
Alamosa County, CO (08003),11,"16,654",Unreliable
Arapahoe County, CO (08005),273,"637,068",42.9
Boulder County, CO (08013),166,"322,226",51.5
Broomfield County, CO (08014),26,"66,529",39.1
Chaffee County, CO (08015),16,"19,058",Unreliable
Delta County, CO (08029),20,"30,442",65.7
Denver County, CO (08031),346,"693,060",49.9
Douglas County, CO (08035),120,"328,632",36.5
Eagle County, CO (08037),11,"53,989",Unreliable
Elbert County, CO (08039),12,"25,231",Unreliable
El Paso County, CO (08041),384,"688,284",55.8
Fremont County, CO (08043),41,"47,446",86.4
Garfield County, CO (08045),38,"58,887",64.5
Huerfano County, CO (08055),10,"6,677",Unreliable
Jefferson County, CO (08059),310,"571,837",54.2
La Plata County, CO (08067),34,"55,623",61.1
Larimer County, CO (08069),149,"339,993",43.8
Las Animas County, CO (08071),20,"14,103",141.8
Logan County, CO (08075),21,"21,919",95.8
Mesa County, CO (08077),101,"150,083",67.3
Moffat County, CO (08081),15,"13,109",Unreliable
Montezuma County, CO (08083),24,"26,999",88.9
Montrose County, CO (08085),42,"41,471",101.3
Morgan County, CO (08087),17,"28,274",Unreliable
Otero County, CO (08089),13,"18,295",Unreliable
Park County, CO (08093),17,"17,166",Unreliable
Pueblo County, CO (08101),99,"165,123",60
Rio Grande County, CO (08105),16,"11,479",Unreliable
Routt County, CO (08107),14,"24,648",Unreliable
Teller County, CO (08119),10,"24,043",Unreliable
Weld County, CO (08123),130,"294,932",44.1
Fairfield County, CT (09001),425,"944,177",45
