County,State (Code),Deaths,Population,Crude Rate Per 100000
Flagler County, FL (12035),20,"108,310",18.5
Hernando County, FL (12053),49,"182,835",26.8
Highlands County, FL (12055),27,"100,917",26.8
Hillsborough County, FL (12057),155,"1,376,238",11.3
Indian River County, FL (12061),33,"151,563",21.8
Lake County, FL (12069),75,"335,396",22.4
Lee County, FL (12071),147,"722,336",20.4
Leon County, FL (12073),33,"287,822",11.5
Levy County, FL (12075),10,"39,961",Unreliable
Manatee County, FL (12081),52,"375,888",13.8
Marion County, FL (12083),83,"349,020",23.8
Martin County, FL (12085),27,"158,701",17
Miami-Dade County, FL (12086),258,"2,712,945",9.5
Monroe County, FL (12087),26,"79,077",32.9
Nassau County, FL (12089),12,"80,622",Unreliable
Okaloosa County, FL (12091),39,"201,170",19.4
Orange County, FL (12095),120,"1,314,367",9.1
Osceola County, FL (12097),38,"336,015",11.3
Palm Beach County, FL (12099),195,"1,443,810",13.5
Pasco County, FL (12101),98,"512,368",19.1
Pinellas County, FL (12103),191,"960,730",19.9
Polk County, FL (12105),114,"666,149",17.1
Putnam County, FL (12107),19,"72,277",Unreliable
St. Johns County, FL (12109),37,"235,087",15.7
St. Lucie County, FL (12111),53,"306,507",17.3
Santa Rosa County, FL (12113),30,"170,497",17.6
Sarasota County, FL (12115),84,"412,569",20.4
Seminole County, FL (12117),52,"455,479",11.4
Sumter County, FL (12119),21,"123,996",16.9
Volusia County, FL (12127),115,"529,364",21.7
Walton County, FL (12131),13,"65,889",Unreliable
Bartow County, GA (13015),17,"103,807",Unreliable
Bibb County, GA (13021),13,"152,760",Unreliable
Bulloch County, GA (13031),11,"74,722",Unreliable
Carroll County, GA (13045),14,"116,261",Unreliable
Chatham County, GA (13051),44,"289,082",15.2
Cherokee County, GA (13057),23,"241,689",9.5
Clarke County, GA (13059),20,"124,707",16
Clayton County, GA (13063),15,"279,462",Unreliable
Cobb County, GA (13067),43,"748,150",5.7
Columbia County, GA (13073),15,"147,450",Unreliable
Coweta County, GA (13077),14,"140,526",Unreliable
DeKalb County, GA (13089),33,"740,321",4.5
Douglas County, GA (13097),16,"142,224",Unreliable
Floyd County, GA (13115),13,"96,560",Unreliable
Forsyth County, GA (13117),11,"221,009",Unreliable
Fulton County, GA (13121),73,"1,023,336",7.1
Glynn County, GA (13127),16,"84,502",Unreliable
Gwinnett County, GA (13135),48,"907,135",5.3
Hall County, GA (13139),24,"196,637",12.2
Henry County, GA (13151),13,"221,768",Unreliable
Houston County, GA (13153),17,"152,122",Unreliable
Lowndes County, GA (13185),11,"114,628",Unreliable
Muscogee County, GA (13215),23,"197,485",11.6
Newton County, GA (13217),18,"106,999",Unreliable
Paulding County, GA (13223),11,"155,825",Unreliable
Richmond County, GA (13245),31,"201,647",15.4
Spalding County, GA (13255),11,"64,806",Unreliable
Stephens County, GA (13257),10,"25,751",Unreliable
Walker County, GA (13295),16,"67,896",Unreliable
Walton County, GA (13297),14,"90,184",Unreliable
Whitfield County, GA (13313),17,"104,589",Unreliable
Hawaii County, HI (15001),26,"198,449",13.1
Honolulu County, HI (15003),67,"992,605",6.7
Kauai County, HI (15007),12,"72,029",Unreliable
Maui County, HI (15009),19,"165,386",Unreliable
Ada County, ID (16001),41,"444,028",9.2
Bannock County, ID (16005),15,"84,377",Unreliable
Canyon County, ID (16027),26,"211,698",12.3
Kootenai County, ID (16055),23,"154,311",14.9
Champaign County, IL (17019),17,"208,419",Unreliable
Coles County, IL (17029),12,"52,343",Unreliable
Cook County, IL (17031),523,"5,203,499",10.1
DuPage County, IL (17043),75,"929,368",8.1
Kane County, IL (17089),56,"531,715",10.5
Kankakee County, IL (17091),17,"110,008",Unreliable
Lake County, IL (17097),68,"703,047",9.7
LaSalle County, IL (17099),15,"110,642",Unreliable
McHenry County, IL (17111),39,"307,004",12.7
McLean County, IL (17113),18,"172,418",Unreliable
Macon County, IL (17115),12,"106,550",Unreliable
Madison County, IL (17119),43,"265,759",16.2
Peoria County, IL (17143),19,"185,006",Unreliable
Rock Island County, IL (17161),21,"144,784",14.5
St. Clair County, IL (17163),20,"262,759",7.6
Sangamon County, IL (17167),35,"197,499",17.7
Tazewell County, IL (17179),21,"134,385",15.6
Will County, IL (17197),63,"689,529",9.1
Williamson County, IL (17199),11,"67,560",Unreliable
Winnebago County, IL (17201),55,"285,873",19.2
Allen County, IN (18003),46,"370,404",12.4
Bartholomew County, IN (18005),11,"81,402",Unreliable
Boone County, IN (18011),10,"64,653",Unreliable
Clark County, IN (18019),16,"116,031",Unreliable
Delaware County, IN (18035),19,"115,603",Unreliable
Elkhart County, IN (18039),27,"203,781",13.2
Grant County, IN (18053),10,"66,937",Unreliable
Hamilton County, IN (18057),24,"316,373",7.6
Hancock County, IN (18059),10,"73,717",Unreliable
Hendricks County, IN (18063),14,"160,610",Unreliable
Henry County, IN (18065),15,"48,521",Unreliable
Howard County, IN (18067),12,"82,568",Unreliable
Johnson County, IN (18081),12,"151,982",Unreliable
Lake County, IN (18089),67,"485,846",13.8
La Porte County, IN (18091),17,"110,015",Unreliable
Madison County, IN (18095),24,"129,296",18.6
Marion County, IN (18097),137,"941,229",14.6
Monroe County, IN (18105),25,"145,496",17.2
Porter County, IN (18127),19,"167,791",Unreliable
St. Joseph County, IN (18141),36,"269,141",13.4
Tippecanoe County, IN (18157),23,"188,059",12.2
Vanderburgh County, IN (18163),31,"181,721",17.1
Vigo County, IN (18167),19,"107,931",Unreliable
Wayne County, IN (18177),15,"66,568",Unreliable
Black Hawk County, IA (19013),12,"132,904",Unreliable
Des Moines County, IA (19057),11,"39,739",Unreliable
Johnson County, IA (19103),13,"146,547",Unreliable
Linn County, IA (19113),26,"221,661",11.7
Marshall County, IA (19127),11,"40,312",Unreliable
Polk County, IA (19153),63,"474,045",13.3
Pottawattamie County, IA (19155),10,"93,582",Unreliable
Scott County, IA (19163),20,"172,474",11.6
Woodbury County, IA (19193),12,"102,779",Unreliable
Johnson County, KS (20091),36,"584,451",6.2
Sedgwick County, KS (20173),68,"511,995",13.3
Shawnee County, KS (20177),25,"178,146",14
Wyandotte County, KS (20209),17,"163,831",Unreliable
Bell County, KY (21013),10,"27,117",Unreliable
Boyd County, KY (21019),11,"48,132",Unreliable
Campbell County, KY (21037),17,"92,211",Unreliable
Daviess County, KY (21059),16,"99,674",Unreliable
Fayette County, KY (21067),41,"318,449",12.9
Hardin County, KY (21093),12,"107,316",Unreliable
Harlan County, KY (21095),11,"27,168",Unreliable
Jefferson County, KY (21111),97,"765,352",12.7
Kenton County, KY (21117),31,"164,945",18.8
Laurel County, KY (21125),14,"60,250",Unreliable
McCracken County, KY (21145),13,"65,162",Unreliable
Madison County, KY (21151),12,"89,547",Unreliable
Pike County, KY (21195),11,"60,555",Unreliable
Pulaski County, KY (21199),15,"63,956",Unreliable
Warren County, KY (21227),22,"125,532",17.5
Whitley County, KY (21235),10,"36,096",Unreliable
Acadia Parish, LA (22001),10,"62,645",Unreliable
Beauregard Parish, LA (22011),10,"36,927",Unreliable
Bossier Parish, LA (22015),13,"126,057",Unreliable
Caddo Parish, LA (22017),46,"248,851",18.5
East Baton Rouge Parish, LA (22033),46,"447,037",10.3
Iberia Parish, LA (22045),11,"73,273",Unreliable
Jefferson Parish, LA (22051),59,"436,523",13.5
Lafayette Parish, LA (22055),19,"241,398",Unreliable
Lafourche Parish, LA (22057),10,"98,305",Unreliable
Livingston Parish, LA (22063),17,"140,138",Unreliable
Orleans Parish, LA (22071),44,"391,495",11.2
Ouachita Parish, LA (22073),12,"156,983",Unreliable
Rapides Parish, LA (22079),13,"132,424",Unreliable
St. Landry Parish, LA (22097),13,"83,883",Unreliable
St. Tammany Parish, LA (22103),25,"253,602",9.9
Tangipahoa Parish, LA (22105),15,"130,710",Unreliable
Terrebonne Parish, LA (22109),19,"113,220",Unreliable
Webster Parish, LA (22119),11,"39,710",Unreliable
Androscoggin County, ME (23001),25,"107,319",23.3
Aroostook County, ME (23003),10,"67,959",Unreliable
Cumberland County, ME (23005),26,"292,041",8.9
Kennebec County, ME (23011),19,"120,569",Unreliable
Penobscot County, ME (23019),22,"151,806",14.5
Somerset County, ME (23025),13,"50,915",Unreliable
York County, ME (23031),22,"202,343",10.9
Anne Arundel County, MD (24003),51,"568,346",9
Baltimore County, MD (24005),54,"831,026",6.5
Charles County, MD (24017),17,"157,705",Unreliable
Frederick County, MD (24021),23,"247,591",9.3
Harford County, MD (24025),26,"251,032",10.4
Howard County, MD (24027),16,"317,233",Unreliable
Montgomery County, MD (24031),46,"1,043,863",4.4
Prince George's County, MD (24033),55,"908,049",6.1
St. Mary's County, MD (24037),12,"112,587",Unreliable
Washington County, MD (24043),14,"150,292",Unreliable
Wicomico County, MD (24045),12,"102,577",Unreliable
Baltimore city, MD (24510),79,"614,664",12.9
Barnstable County, MA (25001),29,"214,276",13.5
Berkshire County, MA (25003),16,"126,903",Unreliable
Bristol County, MA (25005),91,"558,324",16.3
Essex County, MA (25009),81,"779,018",10.4
Hampden County, MA (25013),59,"468,467",12.6
Hampshire County, MA (25015),17,"161,816",Unreliable
Middlesex County, MA (25017),131,"1,589,774",8.2
Norfolk County, MA (25021),53,"697,181",7.6
Plymouth County, MA (25023),76,"513,565",14.8
Suffolk County, MA (25025),65,"784,230",8.3
Worcester County, MA (25027),88,"819,589",10.7
Allegan County, MI (26005),16,"115,548",Unreliable
Barry County, MI (26015),10,"59,702",Unreliable
Bay County, MI (26017),19,"104,747",Unreliable
Berrien County, MI (26021),18,"154,010",Unreliable
Calhoun County, MI (26025),30,"134,386",22.3
Clare County, MI (26035),12,"30,358",Unreliable
Eaton County, MI (26045),10,"109,160",Unreliable
Emmet County, MI (26047),10,"33,182",Unreliable
Genesee County, MI (26049),54,"408,615",13.2
Grand Traverse County, MI (26055),15,"92,084",Unreliable
Ingham County, MI (26065),23,"288,051",8
Isabella County, MI (26073),11,"71,282",Unreliable
Jackson County, MI (26075),16,"158,460",Unreliable
Kalamazoo County, MI (26077),29,"261,654",11.1
Kent County, MI (26081),48,"642,173",7.5
Lenawee County, MI (26091),18,"98,504",Unreliable
Livingston County, MI (26093),14,"188,624",Unreliable
Macomb County, MI (26099),111,"867,730",12.8
Marquette County, MI (26103),10,"66,435",Unreliable
Midland County, MI (26111),15,"83,462",Unreliable
Monroe County, MI (26115),24,"149,208",16.1
Montcalm County, MI (26117),10,"62,974",Unreliable
Muskegon County, MI (26121),22,"173,408",12.7
Oakland County, MI (26125),128,"1,243,970",10.3
Ottawa County, MI (26139),18,"282,250",Unreliable
Saginaw County, MI (26145),41,"192,326",21.3
St. Clair County, MI (26147),26,"159,587",16.3
Shiawassee County, MI (26155),15,"68,554",Unreliable
Tuscola County, MI (26157),11,"53,338",Unreliable
Van Buren County, MI (26159),14,"75,223",Unreliable
Washtenaw County, MI (26161),20,"364,709",5.5
Wayne County, MI (26163),212,"1,749,366",12.1
Anoka County, MN (27003),36,"345,957",10.4
Dakota County, MN (27037),33,"417,486",7.9
Hennepin County, MN (27053),141,"1,232,483",11.4
Olmsted County, MN (27109),12,"153,102",Unreliable
Ramsey County, MN (27123),75,"540,649",13.9
St. Louis County, MN (27137),35,"199,980",17.5
Scott County, MN (27139),12,"143,680",Unreliable
Stearns County, MN (27145),17,"155,652",Unreliable
Washington County, MN (27163),25,"253,117",9.9
Wright County, MN (27171),14,"132,550",Unreliable
DeSoto County, MS (28033),16,"175,611",Unreliable
Harrison County, MS (28047),33,"203,234",16.2
Hinds County, MS (28049),45,"241,229",18.7
Jackson County, MS (28059),20,"141,241",14.2
Lauderdale County, MS (28075),13,"77,755",Unreliable
Lee County, MS (28081),15,"85,381",Unreliable
Madison County, MS (28089),12,"105,114",Unreliable
Pearl River County, MS (28109),13,"55,310",Unreliable
Boone County, MO (29019),12,"176,594",Unreliable
Buchanan County, MO (29021),10,"88,938",Unreliable
Clay County, MO (29047),19,"239,085",Unreliable
Franklin County, MO (29071),11,"102,838",Unreliable
Greene County, MO (29077),43,"288,690",14.9
Howell County, MO (29091),11,"40,210",Unreliable
Jackson County, MO (29095),75,"691,801",10.8
Jasper County, MO (29097),20,"119,111",16.8
Jefferson County, MO (29099),31,"224,226",13.8
St. Charles County, MO (29183),30,"390,918",7.7
St. Louis County, MO (29189),93,"998,581",9.3
St. Louis city, MO (29510),30,"311,404",9.6
Cascade County, MT (30013),11,"81,755",Unreliable
Flathead County, MT (30029),11,"98,082",Unreliable
Lewis and Clark County, MT (30049),10,"67,282",Unreliable
Yellowstone County, MT (30111),25,"158,437",15.8
Douglas County, NE (31055),60,"554,995",10.8
Lancaster County, NE (31109),30,"309,637",9.7
Sarpy County, NE (31153),21,"179,023",11.7
Clark County, NV (32003),280,"2,155,664",13
Lyon County, NV (32019),10,"53,179",Unreliable
Washoe County, NV (32031),81,"453,616",17.9
Carson City, NV (32510),13,"54,742",Unreliable
Cheshire County, NH (33005),12,"75,774",Unreliable
Hillsborough County, NH (33011),53,"407,761",13
Merrimack County, NH (33013),20,"148,582",13.5
Rockingham County, NH (33015),34,"303,251",11.2
Strafford County, NH (33017),11,"127,428",Unreliable
Atlantic County, NJ (34001),37,"270,991",13.7
Bergen County, NJ (34003),64,"939,151",6.8
Burlington County, NJ (34005),36,"449,284",8
Camden County, NJ (34007),60,"510,150",11.8
Cape May County, NJ (34009),17,"94,430",Unreliable
Cumberland County, NJ (34011),23,"153,797",15
Essex County, NJ (34013),56,"796,914",7
Gloucester County, NJ (34015),27,"292,330",9.2
Hudson County, NJ (34017),57,"677,983",8.4
Hunterdon County, NJ (34019),13,"124,676",Unreliable
Mercer County, NJ (34021),40,"371,023",10.8
Middlesex County, NJ (34023),67,"837,073",8
Monmouth County, NJ (34025),49,"625,846",7.8
Morris County, NJ (34027),30,"498,423",6
Ocean County, NJ (34029),76,"592,497",12.8
Passaic County, NJ (34031),41,"507,945",8.1
Salem County, NJ (34033),10,"63,436",Unreliable
Somerset County, NJ (34035),22,"333,751",6.6
Sussex County, NJ (34037),17,"142,522",Unreliable
Union County, NJ (34039),45,"555,630",8.1
Warren County, NJ (34041),14,"106,617",Unreliable
Bernalillo County, NM (35001),155,"676,953",22.9
Chaves County, NM (35005),22,"65,282",33.7
Cibola County, NM (35006),13,"27,487",Unreliable
Colfax County, NM (35007),11,"12,253",Unreliable
Curry County, NM (35009),12,"50,280",Unreliable
Dona Ana County, NM (35013),38,"214,207",17.7
Eddy County, NM (35015),12,"57,621",Unreliable
Lea County, NM (35025),14,"69,749",Unreliable
McKinley County, NM (35031),65,"74,923",86.8
Otero County, NM (35035),13,"65,410",Unreliable
Rio Arriba County, NM (35039),30,"40,040",74.9
Sandoval County, NM (35043),23,"142,025",16.2
San Juan County, NM (35045),46,"115,079",40
San Miguel County, NM (35047),14,"27,760",Unreliable
Santa Fe County, NM (35049),38,"148,651",25.6
Taos County, NM (35055),13,"33,065",Unreliable
Valencia County, NM (35061),16,"75,626",Unreliable
Albany County, NY (36001),18,"308,846",Unreliable
Bronx County, NY (36005),111,"1,455,720",7.6
Broome County, NY (36007),36,"195,334",18.4
Chautauqua County, NY (36013),21,"129,504",16.2
Chemung County, NY (36015),13,"86,322",Unreliable
Clinton County, NY (36019),13,"81,073",Unreliable
Columbia County, NY (36021),11,"60,989",Unreliable
Dutchess County, NY (36027),24,"294,473",8.2
Erie County, NY (36029),91,"921,046",9.9
Franklin County, NY (36033),12,"50,409",Unreliable
Fulton County, NY (36035),10,"53,828",Unreliable
Herkimer County, NY (36043),10,"62,613",Unreliable
Jefferson County, NY (36045),17,"114,006",Unreliable
Kings County, NY (36047),133,"2,629,150",5.1
Monroe County, NY (36055),63,"747,727",8.4
Montgomery County, NY (36057),11,"49,276",Unreliable
Nassau County, NY (36059),99,"1,361,500",7.3
New York County, NY (36061),85,"1,643,734",5.2
Niagara County, NY (36063),32,"211,758",15.1
Oneida County, NY (36065),27,"231,190",11.7
Onondaga County, NY (36067),53,"466,194",11.4
Ontario County, NY (36069),13,"109,828",Unreliable
Orange County, NY (36071),28,"379,210",7.4
Oswego County, NY (36075),17,"118,987",Unreliable
Putnam County, NY (36079),10,"98,900",Unreliable
Queens County, NY (36081),104,"2,333,054",4.5
Rensselaer County, NY (36083),20,"160,070",12.5
Richmond County, NY (36085),29,"476,015",6.1
Rockland County, NY (36087),19,"326,780",Unreliable
St. Lawrence County, NY (36089),22,"110,038",20
Saratoga County, NY (36091),23,"227,053",10.1
Schenectady County, NY (36093),12,"154,553",Unreliable
Steuben County, NY (36101),16,"96,940",Unreliable
Suffolk County, NY (36103),153,"1,492,583",10.3
Sullivan County, NY (36105),11,"74,801",Unreliable
Tompkins County, NY (36109),11,"104,871",Unreliable
Ulster County, NY (36111),26,"179,225",14.5
Warren County, NY (36113),13,"64,567",Unreliable
Westchester County, NY (36119),57,"974,542",5.8
Alamance County, NC (37001),32,"159,688",20
Brunswick County, NC (37019),11,"126,953",Unreliable
Buncombe County, NC (37021),39,"256,088",15.2
Burke County, NC (37023),13,"88,851",Unreliable
Cabarrus County, NC (37025),21,"201,590",10.4
Caldwell County, NC (37027),14,"81,449",Unreliable
Catawba County, NC (37035),23,"156,459",14.7
Chatham County, NC (37037),12,"72,243",Unreliable
Cleveland County, NC (37045),14,"97,144",Unreliable
Craven County, NC (37049),11,"103,445",Unreliable
Cumberland County, NC (37051),33,"327,127",10.1
Davidson County, NC (37057),21,"164,926",12.7
Duplin County, NC (37061),11,"58,969",Unreliable
Durham County, NC (37063),13,"306,212",Unreliable
Edgecombe County, NC (37065),12,"53,318",Unreliable
Forsyth County, NC (37067),44,"371,511",11.8
Gaston County, NC (37071),31,"216,965",14.3
Guilford County, NC (37081),71,"521,330",13.6
Harnett County, NC (37085),14,"130,881",Unreliable
Haywood County, NC (37087),16,"60,682",Unreliable
Henderson County, NC (37089),13,"114,209",Unreliable
Iredell County, NC (37097),25,"172,916",14.5
Jackson County, NC (37099),17,"42,241",Unreliable
Johnston County, NC (37101),12,"191,450",Unreliable
Lee County, NC (37105),12,"59,616",Unreliable
Lenoir County, NC (37107),13,"57,307",Unreliable
Lincoln County, NC (37109),16,"81,168",Unreliable
McDowell County, NC (37111),10,"45,075",Unreliable
Mecklenburg County, NC (37119),85,"1,054,835",8.1
Moore County, NC (37125),16,"95,776",Unreliable
Nash County, NC (37127),18,"94,005",Unreliable
New Hanover County, NC (37129),14,"223,483",Unreliable
Onslow County, NC (37133),20,"187,136",10.7
Orange County, NC (37135),11,"141,796",Unreliable
Pitt County, NC (37147),17,"177,220",Unreliable
Randolph County, NC (37151),23,"143,416",16
Robeson County, NC (37155),25,"133,235",18.8
Rockingham County, NC (37157),17,"91,393",Unreliable
Rowan County, NC (37159),20,"139,933",14.3
Rutherford County, NC (37161),13,"66,421",Unreliable
Surry County, NC (37171),14,"72,113",Unreliable
Transylvania County, NC (37175),11,"33,482",Unreliable
Union County, NC (37179),34,"226,606",15
Wake County, NC (37183),66,"1,046,791",6.3
Wayne County, NC (37191),11,"124,150",Unreliable
Wilkes County, NC (37193),11,"68,740",Unreliable
Wilson County, NC (37195),11,"81,661",Unreliable
Cass County, ND (38017),26,"175,249",14.8
Allen County, OH (39003),18,"103,742",Unreliable
Ashtabula County, OH (39007),13,"98,231",Unreliable
Butler County, OH (39017),39,"377,537",10.3
Clark County, OH (39023),26,"134,786",19.3
Clermont County, OH (39025),24,"203,022",11.8
Columbiana County, OH (39029),18,"103,685",Unreliable
Cuyahoga County, OH (39035),176,"1,249,352",14.1
Delaware County, OH (39041),16,"196,463",Unreliable
Erie County, OH (39043),16,"75,107",Unreliable
Fairfield County, OH (39045),14,"152,597",Unreliable
Franklin County, OH (39049),131,"1,264,518",10.4
Greene County, OH (39057),22,"164,765",13.4
Hamilton County, OH (39061),72,"809,099",8.9
Huron County, OH (39077),10,"58,439",Unreliable
Jefferson County, OH (39081),15,"66,704",Unreliable
Lake County, OH (39085),39,"228,614",17.1
Lawrence County, OH (39087),20,"60,872",32.9
Licking County, OH (39089),30,"172,198",17.4
Lorain County, OH (39093),49,"306,365",16
Lucas County, OH (39095),79,"432,488",18.3
Mahoning County, OH (39099),33,"230,008",14.3
Marion County, OH (39101),11,"65,096",Unreliable
Medina County, OH (39103),17,"177,221",Unreliable
Miami County, OH (39109),17,"104,679",Unreliable
Montgomery County, OH (39113),82,"531,239",15.4
Muskingum County, OH (39119),10,"86,068",Unreliable
Ottawa County, OH (39123),10,"40,636",Unreliable
Portage County, OH (39133),25,"161,921",15.4
Richland County, OH (39139),23,"121,107",19
Ross County, OH (39141),11,"77,000",Unreliable
Sandusky County, OH (39143),10,"59,330",Unreliable
Scioto County, OH (39145),19,"76,088",Unreliable
Stark County, OH (39151),59,"373,612",15.8
Summit County, OH (39153),83,"540,300",15.4
Trumbull County, OH (39155),34,"201,825",16.8
Tuscarawas County, OH (39157),15,"92,420",Unreliable
Warren County, OH (39165),11,"227,063",Unreliable
Wood County, OH (39173),11,"130,219",Unreliable
Caddo County, OK (40015),10,"29,557",Unreliable
Canadian County, OK (40017),14,"136,532",Unreliable
Cherokee County, OK (40021),11,"48,700",Unreliable
Cleveland County, OK (40027),37,"278,655",13.3
Comanche County, OK (40031),17,"122,136",Unreliable
Creek County, OK (40037),15,"71,312",Unreliable
Garfield County, OK (40047),12,"62,603",Unreliable
Kay County, OK (40071),13,"44,943",Unreliable
Lincoln County, OK (40081),10,"35,129",Unreliable
Logan County, OK (40083),11,"46,588",Unreliable
