County,State (Code),Deaths,Population,Crude Rate Per 100000
Fulton County, GA (13121),74,"1,023,336",7.2
Glynn County, GA (13127),10,"84,502",Unreliable
Gwinnett County, GA (13135),52,"907,135",5.7
Hall County, GA (13139),19,"196,637",Unreliable
Houston County, GA (13153),10,"152,122",Unreliable
Lowndes County, GA (13185),12,"114,628",Unreliable
Richmond County, GA (13245),26,"201,647",12.9
Walker County, GA (13295),10,"67,896",Unreliable
Walton County, GA (13297),13,"90,184",Unreliable
Hawaii County, HI (15001),20,"198,449",10.1
Honolulu County, HI (15003),68,"992,605",6.9
Maui County, HI (15009),17,"165,386",Unreliable
Ada County, ID (16001),43,"444,028",9.7
Bonneville County, ID (16019),12,"112,232",Unreliable
Canyon County, ID (16027),13,"211,698",Unreliable
Kootenai County, ID (16055),23,"154,311",14.9
Champaign County, IL (17019),18,"208,419",Unreliable
Cook County, IL (17031),444,"5,203,499",8.5
DeKalb County, IL (17037),17,"104,528",Unreliable
DuPage County, IL (17043),95,"929,368",10.2
Franklin County, IL (17055),11,"39,156",Unreliable
Kane County, IL (17089),35,"531,715",6.6
Kankakee County, IL (17091),16,"110,008",Unreliable
Lake County, IL (17097),63,"703,047",9
McHenry County, IL (17111),31,"307,004",10.1
McLean County, IL (17113),18,"172,418",Unreliable
Macon County, IL (17115),11,"106,550",Unreliable
Madison County, IL (17119),41,"265,759",15.4
Ogle County, IL (17141),10,"51,273",Unreliable
Peoria County, IL (17143),20,"185,006",10.8
Rock Island County, IL (17161),22,"144,784",15.2
St. Clair County, IL (17163),19,"262,759",Unreliable
Sangamon County, IL (17167),18,"197,499",Unreliable
Stephenson County, IL (17177),11,"45,624",Unreliable
Tazewell County, IL (17179),21,"134,385",15.6
Will County, IL (17197),45,"689,529",6.5
Williamson County, IL (17199),10,"67,560",Unreliable
Winnebago County, IL (17201),41,"285,873",14.3
Allen County, IN (18003),32,"370,404",8.6
Bartholomew County, IN (18005),12,"81,402",Unreliable
Delaware County, IN (18035),19,"115,603",Unreliable
Elkhart County, IN (18039),21,"203,781",10.3
Grant County, IN (18053),13,"66,937",Unreliable
Hamilton County, IN (18057),21,"316,373",6.6
Howard County, IN (18067),19,"82,568",Unreliable
Lake County, IN (18089),52,"485,846",10.7
La Porte County, IN (18091),15,"110,015",Unreliable
Madison County, IN (18095),13,"129,296",Unreliable
Marion County, IN (18097),67,"941,229",7.1
Monroe County, IN (18105),19,"145,496",Unreliable
Porter County, IN (18127),11,"167,791",Unreliable
St. Joseph County, IN (18141),27,"269,141",10
Tippecanoe County, IN (18157),20,"188,059",10.6
Vanderburgh County, IN (18163),16,"181,721",Unreliable
Vigo County, IN (18167),16,"107,931",Unreliable
Wabash County, IN (18169),11,"31,762",Unreliable
Wayne County, IN (18177),16,"66,568",Unreliable
Black Hawk County, IA (19013),16,"132,904",Unreliable
Clinton County, IA (19045),11,"47,309",Unreliable
Dubuque County, IA (19061),10,"97,003",Unreliable
Johnson County, IA (19103),11,"146,547",Unreliable
Linn County, IA (19113),22,"221,661",9.9
Polk County, IA (19153),35,"474,045",7.4
Scott County, IA (19163),17,"172,474",Unreliable
Douglas County, KS (20045),17,"119,440",Unreliable
Johnson County, KS (20091),74,"584,451",12.7
Reno County, KS (20155),17,"63,220",Unreliable
Riley County, KS (20161),11,"73,343",Unreliable
