County,State (Code),Deaths,Population,Crude Rate Per 100000
Douglas County, CO (08035),28,"328,632",8.5
El Paso County, CO (08041),119,"688,284",17.3
Fremont County, CO (08043),11,"47,446",Unreliable
Jefferson County, CO (08059),74,"571,837",12.9
Larimer County, CO (08069),57,"339,993",16.8
Mesa County, CO (08077),37,"150,083",24.7
Montezuma County, CO (08083),11,"26,999",Unreliable
Pueblo County, CO (08101),39,"165,123",23.6
Weld County, CO (08123),59,"294,932",20
Fairfield County, CT (09001),157,"944,177",16.6
Hartford County, CT (09003),177,"892,389",19.8
Litchfield County, CT (09005),31,"182,571",17
Middlesex County, CT (09007),35,"163,329",21.4
New Haven County, CT (09009),202,"856,875",23.6
New London County, CT (09011),45,"269,801",16.7
Tolland County, CT (09013),29,"151,118",19.2
Windham County, CT (09015),23,"116,192",19.8
Kent County, DE (10001),46,"174,827",26.3
New Castle County, DE (10003),96,"556,987",17.2
Sussex County, DE (10005),61,"220,251",27.7
District of Columbia, DC (11001),127,"681,170",18.6
Alachua County, FL (12001),56,"263,496",21.3
Baker County, FL (12003),11,"27,937",Unreliable
Bay County, FL (12005),84,"183,974",45.7
Brevard County, FL (12009),196,"579,130",33.8
Broward County, FL (12011),377,"1,909,632",19.7
Calhoun County, FL (12013),10,"14,423",Unreliable
Charlotte County, FL (12015),58,"178,465",32.5
Citrus County, FL (12017),85,"143,621",59.2
Clay County, FL (12019),54,"208,311",25.9
Collier County, FL (12021),62,"365,136",17
Columbia County, FL (12023),35,"69,299",50.5
DeSoto County, FL (12027),10,"35,800",Unreliable
Duval County, FL (12031),234,"926,255",25.3
Escambia County, FL (12033),98,"315,187",31.1
Flagler County, FL (12035),34,"108,310",31.4
Gadsden County, FL (12039),20,"46,006",43.5
Hardee County, FL (12049),13,"27,360",Unreliable
Hernando County, FL (12053),110,"182,835",60.2
Highlands County, FL (12055),55,"100,917",54.5
Hillsborough County, FL (12057),274,"1,376,238",19.9
Holmes County, FL (12059),12,"19,487",Unreliable
Indian River County, FL (12061),39,"151,563",25.7
Jackson County, FL (12063),22,"48,229",45.6
Lake County, FL (12069),136,"335,396",40.5
Lee County, FL (12071),256,"722,336",35.4
Leon County, FL (12073),46,"287,822",16
Levy County, FL (12075),17,"39,961",Unreliable
Manatee County, FL (12081),86,"375,888",22.9
Marion County, FL (12083),190,"349,020",54.4
Martin County, FL (12085),41,"158,701",25.8
Miami-Dade County, FL (12086),767,"2,712,945",28.3
Monroe County, FL (12087),10,"79,077",Unreliable
Nassau County, FL (12089),15,"80,622",Unreliable
Okaloosa County, FL (12091),47,"201,170",23.4
Okeechobee County, FL (12093),11,"40,314",Unreliable
Orange County, FL (12095),224,"1,314,367",17
Osceola County, FL (12097),55,"336,015",16.4
Palm Beach County, FL (12099),305,"1,443,810",21.1
Pasco County, FL (12101),200,"512,368",39
Pinellas County, FL (12103),330,"960,730",34.3
Polk County, FL (12105),216,"666,149",32.4
Putnam County, FL (12107),52,"72,277",71.9
St. Johns County, FL (12109),48,"235,087",20.4
St. Lucie County, FL (12111),93,"306,507",30.3
Santa Rosa County, FL (12113),46,"170,497",27
Sarasota County, FL (12115),109,"412,569",26.4
Seminole County, FL (12117),103,"455,479",22.6
Sumter County, FL (12119),52,"123,996",41.9
Suwannee County, FL (12121),33,"43,794",75.4
Taylor County, FL (12123),19,"22,175",Unreliable
Volusia County, FL (12127),198,"529,364",37.4
Wakulla County, FL (12129),11,"31,893",Unreliable
Walton County, FL (12131),18,"65,889",Unreliable
Washington County, FL (12133),18,"24,569",Unreliable
Baldwin County, GA (13009),14,"45,144",Unreliable
Barrow County, GA (13013),18,"77,126",Unreliable
Bartow County, GA (13015),14,"103,807",Unreliable
Bibb County, GA (13021),23,"152,760",15.1
Bulloch County, GA (13031),23,"74,722",30.8
Burke County, GA (13033),11,"22,688",Unreliable
Candler County, GA (13043),11,"10,910",Unreliable
Carroll County, GA (13045),38,"116,261",32.7
Catoosa County, GA (13047),23,"66,398",34.6
Chatham County, GA (13051),35,"289,082",12.1
Cherokee County, GA (13057),16,"241,689",Unreliable
Clarke County, GA (13059),18,"124,707",Unreliable
Clayton County, GA (13063),52,"279,462",18.6
Cobb County, GA (13067),99,"748,150",13.2
Coffee County, GA (13069),13,"43,012",Unreliable
Colquitt County, GA (13071),29,"45,708",63.4
Columbia County, GA (13073),22,"147,450",14.9
Coweta County, GA (13077),30,"140,526",21.3
Decatur County, GA (13087),12,"26,822",Unreliable
DeKalb County, GA (13089),141,"740,321",19
Dougherty County, GA (13095),65,"90,017",72.2
Douglas County, GA (13097),27,"142,224",19
Emanuel County, GA (13107),16,"22,635",Unreliable
Fayette County, GA (13113),29,"111,627",26
Floyd County, GA (13115),27,"96,560",28
Forsyth County, GA (13117),22,"221,009",10
Fulton County, GA (13121),166,"1,023,336",16.2
Glynn County, GA (13127),19,"84,502",Unreliable
Gordon County, GA (13129),10,"56,904",Unreliable
Grady County, GA (13131),10,"24,808",Unreliable
Gwinnett County, GA (13135),107,"907,135",11.8
