County,State (Code),Deaths,Population,Crude Rate Per 100000
Okaloosa County, FL (12091),28,"201,170",13.9
Orange County, FL (12095),131,"1,314,367",10
Osceola County, FL (12097),57,"336,015",17
Palm Beach County, FL (12099),144,"1,443,810",10
Pasco County, FL (12101),84,"512,368",16.4
Pinellas County, FL (12103),135,"960,730",14.1
Polk County, FL (12105),115,"666,149",17.3
St. Johns County, FL (12109),28,"235,087",11.9
St. Lucie County, FL (12111),35,"306,507",11.4
Santa Rosa County, FL (12113),20,"170,497",11.7
Sarasota County, FL (12115),82,"412,569",19.9
Seminole County, FL (12117),38,"455,479",8.3
Sumter County, FL (12119),14,"123,996",Unreliable
Volusia County, FL (12127),112,"529,364",21.2
Bartow County, GA (13015),18,"103,807",Unreliable
Bibb County, GA (13021),34,"152,760",22.3
Bulloch County, GA (13031),13,"74,722",Unreliable
Carroll County, GA (13045),30,"116,261",25.8
Chatham County, GA (13051),48,"289,082",16.6
Cherokee County, GA (13057),19,"241,689",Unreliable
Clarke County, GA (13059),13,"124,707",Unreliable
Clayton County, GA (13063),63,"279,462",22.5
Cobb County, GA (13067),72,"748,150",9.6
Coffee County, GA (13069),12,"43,012",Unreliable
Colquitt County, GA (13071),10,"45,708",Unreliable
Columbia County, GA (13073),23,"147,450",15.6
Coweta County, GA (13077),27,"140,526",19.2
Decatur County, GA (13087),10,"26,822",Unreliable
DeKalb County, GA (13089),75,"740,321",10.1
Dougherty County, GA (13095),19,"90,017",Unreliable
Douglas County, GA (13097),24,"142,224",16.9
Effingham County, GA (13103),15,"58,712",Unreliable
Fayette County, GA (13113),17,"111,627",Unreliable
Floyd County, GA (13115),20,"96,560",20.7
Fulton County, GA (13121),148,"1,023,336",14.5
Glynn County, GA (13127),19,"84,502",Unreliable
Gwinnett County, GA (13135),60,"907,135",6.6
Hall County, GA (13139),14,"196,637",Unreliable
Haralson County, GA (13143),12,"29,042",Unreliable
Henry County, GA (13151),36,"221,768",16.2
Houston County, GA (13153),27,"152,122",17.7
Laurens County, GA (13175),15,"47,516",Unreliable
Lowndes County, GA (13185),21,"114,628",18.3
Muscogee County, GA (13215),61,"197,485",30.9
Newton County, GA (13217),15,"106,999",Unreliable
Paulding County, GA (13223),12,"155,825",Unreliable
Richmond County, GA (13245),42,"201,647",20.8
Rockdale County, GA (13247),19,"89,355",Unreliable
Spalding County, GA (13255),20,"64,806",30.9
Toombs County, GA (13279),13,"27,196",Unreliable
Troup County, GA (13285),17,"70,005",Unreliable
Walker County, GA (13295),13,"67,896",Unreliable
Walton County, GA (13297),12,"90,184",Unreliable
Whitfield County, GA (13313),15,"104,589",Unreliable
Hawaii County, HI (15001),21,"198,449",10.6
Honolulu County, HI (15003),86,"992,605",8.7
Ada County, ID (16001),14,"444,028",Unreliable
Canyon County, ID (16027),13,"211,698",Unreliable
Adams County, IL (17001),30,"66,578",45.1
Bureau County, IL (17011),12,"33,359",Unreliable
Champaign County, IL (17019),30,"208,419",14.4
Christian County, IL (17021),13,"33,309",Unreliable
Cook County, IL (17031),621,"5,203,499",11.9
DeKalb County, IL (17037),11,"104,528",Unreliable
DuPage County, IL (17043),88,"929,368",9.5
Franklin County, IL (17055),20,"39,156",51.1
Hancock County, IL (17067),10,"18,508",Unreliable
Jackson County, IL (17077),14,"58,870",Unreliable
Kane County, IL (17089),44,"531,715",8.3
Kankakee County, IL (17091),18,"110,008",Unreliable
Lake County, IL (17097),62,"703,047",8.8
LaSalle County, IL (17099),12,"110,642",Unreliable
McHenry County, IL (17111),22,"307,004",7.2
McLean County, IL (17113),14,"172,418",Unreliable
Macon County, IL (17115),21,"106,550",19.7
